"BehaviorSpace results (NetLogo 6.2.2)"
"M0poursimu.nlogo"
"calibration-surveillant"
"08/01/2022 10:09:37:146 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","coordination-RNA","nombre-bergers","proba-discu","S-pop","RNA","proba-denonce","nb-champs-visités","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","S-repreZ","tps-au-champ","participants","malus-nb-chps","[step]","%-under-tree","coupeurs-attrapes","nb-arbres","MoyN-interet-RNA","nb-engages","delta-mil"
"124","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.01","5460","36.64","107","347","13.397938144330379","9","-124.59903999997695"
"126","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.11","5460","36.720000000000006","67","360","15.032258064517022","12","-103.03959999998843"
"128","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.11","5460","36.74","66","342","1.2272727272727098","0","-92.8420599999743"
"129","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.11","5460","36.84","60","342","14.769565217391603","9","-124.26725999998817"
"133","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.21","5460","36.38","19","359","1.627906976744136","0","-165.17009999997464"
"130","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.11","5460","35.35","27","344","1.5802197802197475","0","-33.25937999997477"
"131","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.21","5460","37.419999999999995","74","356","12.55744680851049","9","-83.94033999996027"
"132","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.21","5460","36.559999999999995","69","363","18.313043478261168","10","-181.51495999997715"
"135","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.21","5460","37","94","346","17.191208791208915","9","-133.76993999996847"
"136","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.31","5460","36.5","19","356","1.5333333333332997","0","-8.332059999980265"
"134","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.21","5460","37.419999999999995","61","337","1.1936842105262875","0","-67.49531999997926"
"137","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.31","5460","35.36","89","324","7.531111111110923","3","-325.73909999999523"
"138","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.31","5460","35.54","12","348","1.3488888888888633","0","-138.54005999997608"
"139","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.31","5460","37.41","10","360","0.9260869565217208","0","-95.51507999997702"
"140","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.31","5460","36.97","13","343","1.5033707865168158","0","-165.21391999997505"
"141","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.41","5460","36.04","88","364","10.271739130435186","5","-133.23157999998293"
"142","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.41","5460","38.37","97","356","14.69438202247218","5","-119.42201999997997"
"143","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.41","5460","34.870000000000005","109","330","13.676595744681597","4","-139.26621999999188"
"144","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.41","5460","37.22","7","373","1.1297872340425354","0","-175.17983999997378"
"146","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.51","5460","33.739999999999995","76","333","15.236956521739268","16","39.38792000003305"
"145","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.41","5460","36.38","107","349","16.031914893617394","10","-198.1540399999758"
"148","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.51","5460","36.04","16","362","1.2272727272727033","0","-58.399539999956325"
"147","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.51","5460","36.120000000000005","18","346","1.0516853932584105","0","-84.4411399999728"
"149","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.51","5460","36.53","44","349","1.578947368421015","0","-104.72979999995877"
"150","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.51","5460","34.410000000000004","114","336","24.86444444444519","8","-26.041599999962635"
"152","4","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.01","5460","37.9","150","380","59.0255813953509","41","-26.279479999974864"
"151","4","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.01","5460","43.34","150","546","80.54838709677774","68","-26.041600000026666"
"155","4","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.01","5460","38.43","150","392","71.68275862069228","34","134.00156000001152"
