"BehaviorSpace results (NetLogo 6.2.2)"
"M0-tree-model3-régénération.nlogo"
"calibration-tpschamps"
"07/25/2022 09:49:45:167 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","nombre-bergers","proba-discu","S-pop","RNA","proba-denonce","nb-champs-visités","fréquence-réu","q-présence-brousse","S-repreZ","nb-coupeurs","nb-proTG-max","coordination","indice-deseng","participants","tps-au-champ","[step]","%-under-tree","coupeurs-attrapes","nb-arbres","MoyN-interet-RNA","nb-engages","delta-mil"
"164","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","40","5460","35.04","1","350","0","0","-151.66727999996584"
"165","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","40","5460","34.96","0","348","0","0","-109.59381999998513"
"167","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","60","5460","36.77","0","340","0","0","-135.4037999999695"
"166","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","60","5460","34.98","0","331","0","0","-161.33897999997717"
"168","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","60","5460","36.22","4","326","0","0","-70.61279999997132"
"169","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","60","5460","37.269999999999996","0","359","0","0","-47.20665999998382"
"170","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","60","5460","36.89","0","348","0","0","-71.6018799999736"
"171","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","80","5460","33.87","0","334","0","0","-149.7329399999544"
"172","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","80","5460","36.120000000000005","3","354","0","0","-54.74995999997627"
"173","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","80","5460","35.47","6","355","0","0","-219.10625999996483"
"175","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","80","5460","37.169999999999995","3","359","0","0","-125.45665999998164"
"176","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","100","5460","36.68","6","350","0","0","-180.36938000000373"
"177","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","100","5460","36.42","7","353","0","0","-135.0344599999684"
"174","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","80","5460","35.33","4","346","0","0","-15.455939999961265"
"179","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","100","5460","36.980000000000004","0","373","0","0","-137.03765999994212"
"180","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","100","5460","36.620000000000005","1","353","0","0","-84.74161999996576"
"178","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","100","5460","34.79","1","338","0","0","-65.448299999968"
