"BehaviorSpace results (NetLogo 6.2.2)"
"M0poursimu.nlogo"
"calibration-surveillance-déléguée"
"08/03/2022 09:29:14:545 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","coordination-RNA","engagés-initiaux","nombre-bergers","proba-discu","S-pop","RNA","proba-denonce","fréquence-réu","q-présence-brousse","S-repreZ","nb-coupeurs","nb-proTG-max","malus-nb-chps","tps-au-champ","participants","[step]","coupeurs-attrapes","nb-arbres","nb-engages","nb-coupe"
"148","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","160","605","82","0"
"151","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","151","569","70","38"
"149","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","158","575","90","0"
"150","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","156","607","73","3"
"152","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","151","481","72","56"
"154","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","151","518","81","66"
"153","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","151","542","91","49"
"155","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","152","522","88","44"
"156","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","157","579","93","39"
"158","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","150","371","60","138"
"157","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","150","448","77","104"
"159","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","150","487","79","101"
"160","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","150","493","70","112"
"161","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","150","490","86","89"
"162","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","150","451","88","110"
"163","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","150","446","59","158"
"166","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","150","420","65","152"
"165","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","150","418","66","135"
"167","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","150","437","83","156"
"164","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","150","393","61","175"
"168","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","150","376","44","175"
"169","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","116","362","0","166"
"170","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","142","386","53","174"
"171","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","142","388","38","199"
"175","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","83","337","0","198"
"172","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","76","349","0","142"
"173","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","150","354","54","195"
"174","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","78","368","0","169"
"176","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","68","353","0","149"
"177","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","109","368","0","197"
"178","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","105","352","0","178"
"179","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","41","348","0","111"
"182","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","157","607","83","0"
"180","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","131","364","22","225"
"181","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","156","645","77","4"
"183","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","160","606","90","3"
"184","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","157","586","64","4"
"185","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","158","568","88","5"
"186","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","154","572","83","7"
"187","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","153","516","86","44"
"189","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","156","537","89","29"
"190","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","151","539","90","32"
"192","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","159","578","80","25"
"188","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","154","555","89","38"
"191","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","157","533","92","40"
"193","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","151","514","83","95"
"194","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","150","513","76","79"
"195","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","150","453","63","112"
"196","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","155","575","84","59"
"197","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","150","554","80","66"
"199","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","150","431","80","128"
"198","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","150","539","71","91"
"200","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","150","470","91","104"
"202","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","150","462","90","101"
"203","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","150","438","78","120"
"201","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","151","487","88","93"
"205","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","148","379","38","176"
"204","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","150","418","40","85"
"206","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","150","389","73","148"
